steps	avg_reward	std_reward
0	-1157.7889547251352	166.7922130941716
1	-1380.627323870829	99.44259416032774
2	-1390.827890506694	214.26782221305623
3	-1364.1924020057727	276.7096816466818
4	-1352.2064715946178	202.54671209557907
5	-1276.044849370715	264.2234720906836
6	-1300.0999649539956	288.1728059154923
7	-1290.9015231184012	218.7215228408456
8	-1164.0634121410726	284.1115837672698
9	-1054.1243243032156	186.79566306412073
10	-1199.4500888765378	215.23154228457375
11	-1153.00703342505	219.83482024329555
12	-1137.3950150882497	179.83301025724896
13	-1157.1709383776677	146.50019007874178
14	-1237.3270859532831	132.9336251638737
15	-1215.682148995853	101.47528303782039
16	-1170.1685726437897	115.55035970683308
17	-1161.8476569081445	190.63016987002538
18	-1149.7035391617678	201.32750719095887
19	-1135.9997251925006	190.46255569818658
20	-1157.2296312253893	106.36912975972868
21	-1147.9399548808985	101.30020635975836
22	-1202.2507189471073	90.8864284533187
23	-1122.2040329119902	62.41013416790668
24	-1151.9031033711833	166.9618074943077
25	-1133.1480484693448	148.29424430493438
26	-1186.1932543529117	120.89823093148591
27	-1180.1839057378065	238.15392010480886
28	-1141.165785603098	220.83938712523516
29	-1158.3901496069584	244.20734298753572
30	-1188.1238335632827	225.75034445314157
31	-1101.9201228255367	289.860222232771
32	-1199.1655647662817	160.87353906411127
33	-1218.4244401654796	240.70624507040736
34	-1235.2000874942264	248.5089971433191
35	-1352.3973015629379	189.42821829591307
36	-1343.9781645954472	212.43522831520644
37	-1401.4990404097498	230.351330458439
38	-1478.5814044509823	196.48760161073315
39	-1503.5823078498267	160.05490808830817
40	-1483.4084529009965	184.57107523948213
41	-1563.4845415452808	162.1365224949448
42	-1576.289073012765	116.83785277058907
43	-1538.4105215380002	199.47189110009512
44	-1518.0398151293493	176.50733829984924
45	-1535.8496908043182	185.82044537841983
46	-1589.309341299177	157.22418549260507
47	-1524.2958065931211	148.4372365726342
48	-1523.2518806663097	171.00862931769615
49	-1577.0364900962356	178.91752003924262
50	-1579.7003635787055	231.2002732238408
51	-1525.0012718803553	211.0933968006233
52	-1564.8740944866836	234.91836129227696
53	-1579.7311354679987	181.26830220014523
54	-1591.5098710452137	126.31790120136932
55	-1569.3656149880192	160.92887261172052
56	-1503.1810404743444	179.34045805674788
57	-1449.8443501514769	288.7672718626059
58	-1554.64259375446	164.34392621247582
59	-1552.0622911829446	184.6591910278308
60	-1521.2782370622074	249.90232266557018
61	-1503.1062749708578	203.03434128661473
62	-1487.788498296683	197.7084411061362
63	-1514.0646052945342	210.95314721776424
64	-1485.1464763153808	203.30595793800097
65	-1412.7159270442364	167.48971156509603
66	-1379.705037099866	138.59775723817808
67	-1398.6206321002787	126.39707986996007
68	-1392.5139469496335	105.32802866375796
69	-1392.4373334270554	132.8079989973811
70	-1358.6265480172765	166.80413178239758
71	-1385.8766730879634	154.62728001991684
72	-1402.8147827695025	170.70103655510823
73	-1375.2426165427087	193.5064472467857
74	-1402.3269767326672	206.11723787978616
75	-1354.795184951501	192.47745586419177
76	-1430.398078699864	166.98751219180875
77	-1417.5080468408382	154.65577855832785
78	-1389.5376040898875	191.99839890626995
79	-1437.365430391745	207.07447983670153
80	-1336.3107266087734	215.49131481780358
81	-1428.3362391952119	187.04390879754504
82	-1403.9060098517068	204.9983770050038
83	-1471.7981521598228	159.89776117306675
84	-1432.92656864018	178.56414773617502
85	-1470.6119806456322	161.19633225521153
86	-1442.2346639781833	194.78069273602978
87	-1448.6720592113988	148.28134578565525
88	-1517.9954743121293	128.8675166265045
89	-1558.483015201035	132.7529316826537
90	-1505.7762996928386	110.64343556067298
91	-1509.3291595216588	142.89491452283949
92	-1571.0622221482415	156.41111196208976
93	-1483.8778082878305	151.01323270101506
94	-1477.1577599770662	118.6541576348096
95	-1505.4258610395075	161.9888143104568
96	-1553.0114323446717	126.48996507260891
97	-1514.0466627800713	118.03658900093757
98	-1548.746024307637	137.91001667533206
99	-1490.0344374340752	146.68427880270062
100	-1589.604666219364	150.3013418212432
101	-1545.2135532931727	139.8392733751577
102	-1600.3676550668004	113.71318305485347
103	-1535.95582060569	140.04516302096738
104	-1536.52812839913	158.1329364018706
105	-1534.7471039667894	126.1665927349471
106	-1528.8779666685111	121.20889267603181
107	-1564.3130332617072	97.58625190289642
108	-1509.6956894280413	99.3802715166987
109	-1550.4770884436066	138.93881017181235
110	-1521.5813972536928	137.56421095739427
111	-1558.3558451820104	110.0017152515252
112	-1539.9066885635393	157.1385280804521
113	-1491.6359592945862	173.93727194738375
114	-1523.5351461551224	158.78847745410175
115	-1578.4396347143409	112.25258627355977
116	-1528.4559813289736	129.51651837812977
117	-1517.949078933425	150.44442253868405
118	-1528.7919016272892	149.47665781543213
119	-1568.154771676123	101.90108647628261
120	-1585.718227170841	178.05605347811888
121	-1611.76091520598	120.58900968361633
122	-1532.6643532727735	201.1684763847059
123	-1537.1383189033543	113.93361428541226
124	-1512.5185108001656	151.555910809991
125	-1627.198163722597	152.52507102928666
126	-1581.808033210102	140.72664675127118
127	-1590.1455035190668	136.31542680577022
128	-1584.345011785425	127.18226897294086
129	-1569.778169858215	162.62417380194
130	-1513.761389550563	185.85049677258385
131	-1519.600229065729	187.71076523166968
132	-1532.9626856186574	157.2279148914715
133	-1513.8895845339027	156.41812507391487
134	-1532.2734418188068	193.181220284625
135	-1518.329832493602	176.68044153991877
136	-1439.5172000745733	197.48480633264793
137	-1444.0716721245362	218.83371716531312
138	-1416.6071905982708	208.26241557063386
139	-1485.3060840875582	143.2262027843097
140	-1442.2495647130886	185.54082537124728
141	-1463.3200408150872	147.2487439384496
142	-1442.1467403472477	217.99857737567962
143	-1384.256458475144	261.55978919443254
144	-1414.270857126618	226.12554061629297
145	-1378.4180296082202	230.37135911296508
146	-1352.3967843701796	242.99912090593983
147	-1435.2352239238428	276.8105188394284
148	-1520.1503404974676	134.5597633827117
149	-1445.9980036785942	229.7963293579648
150	-1494.5993419480085	185.69570799923207
151	-1440.6208010808605	268.82712314191224
152	-1475.382261434237	209.89413054938603
153	-1402.135302643149	229.28611514701035
154	-1370.810150117861	272.4027380851833
155	-1435.535363211403	209.6965809491794
156	-1466.5390748498662	209.6987324022101
157	-1406.7318729939973	255.68689812438933
158	-1479.0407356571443	162.57031941429057
159	-1376.7105255989254	300.00088698817444
160	-1500.475727018573	150.88151729967336
161	-1466.0208195870573	207.2388745098702
162	-1398.9131797905306	209.31302622754518
163	-1395.1544517895784	238.27769297572294
164	-1469.4806177208563	188.277168349515
165	-1391.6780399887887	254.09783492223622
166	-1466.2264439287476	221.53397657196513
167	-1391.5193494435644	221.5531770290312
168	-1419.97375852831	170.59130262896568
169	-1435.3600000242677	216.75144493477168
170	-1452.011583040977	213.72227551388667
171	-1486.4085820079501	183.64406270184762
172	-1451.4684610168215	229.45195631560435
173	-1472.5246949517189	226.99729215873325
174	-1427.405864745903	259.15373436674605
175	-1476.9386857956167	239.65622314653083
176	-1445.0325590951124	214.8497286370446
177	-1352.1241041172916	239.82630688460722
178	-1473.4533330204347	211.6446230690428
179	-1442.6289758198309	222.9799004781714
180	-1469.1950079339067	223.96901414937403
181	-1431.767310800192	269.7556255247949
182	-1388.568131254438	205.2218897860072
183	-1430.27358226214	217.27618782849484
184	-1448.1152351524777	203.31573785534374
185	-1504.040477892613	244.76203927450734
186	-1460.1971373086196	208.56570520378293
187	-1449.5418437286091	230.52695187209127
188	-1374.4270081665193	233.95813477710982
189	-1420.519677771296	236.12124647851024
190	-1464.673358230178	204.36264491011173
191	-1470.43678001343	184.92265481017145
192	-1420.648917924368	212.76007865442514
193	-1416.205309004896	239.92387584477407
194	-1454.1471378535905	218.60875822536778
195	-1447.3279127287706	233.9109318032011
196	-1358.648496301506	223.04462767499277
197	-1507.4302375715652	172.5453133483856
198	-1480.8302964364732	150.38192825635832
199	-1460.1529238063993	205.347341087761
200	-1437.5286264292486	215.12701077686737
201	-1363.8682433138788	260.63528597716584
202	-1459.5245511587254	244.693527257755
203	-1454.4903341911277	213.59286879085494
204	-1343.3657191850664	274.05547330025905
205	-1437.4191819014986	165.2597253976882
206	-1516.8745482809927	165.58904947629867
207	-1480.517022213769	190.01566661825566
208	-1401.1164239308678	239.33005038700173
209	-1384.0213474272095	254.82701833474022
210	-1469.2198144164404	257.8312682921361
211	-1430.5263576128907	265.5615028528722
212	-1469.8045639744785	166.79282816710383
213	-1402.6434598153512	207.81703570253785
214	-1418.9437979316253	230.7270630723782
215	-1403.4714580307084	218.42266060625806
216	-1410.8736098056875	236.55441190061248
217	-1452.4462191413536	228.31727793585654
218	-1339.5727284623665	252.53549544943837
219	-1441.7256951546217	235.4226294880489
220	-1384.1715614729637	241.20519899469267
221	-1470.9031231148026	242.26957773855733
222	-1453.8213734066078	209.78516912129803
223	-1472.522764813126	200.079250197895
224	-1370.2911710406313	284.5022989791131
225	-1433.6753410223118	220.82787602257807
226	-1439.1959650657288	243.64339602986178
227	-1452.255064135523	216.33686293833506
228	-1387.8690347585011	265.91642144688626
229	-1483.1726072090355	182.88457958714562
230	-1468.8522449854895	212.87918501208833
231	-1486.6267737890726	218.97756833643473
232	-1412.8599417779278	212.79427979134587
233	-1402.7101484726147	196.5243510241762
234	-1428.566570663332	245.30320700238954
235	-1474.071872197969	197.71250879645288
236	-1390.7149427282432	255.26513851227614
237	-1462.3400416791856	211.62078171643697
238	-1455.8139016227585	204.16964600468629
239	-1428.4303947138835	197.81904427970215
240	-1414.5732265291092	165.2449506099388
241	-1468.2800343999995	148.84091751026935
242	-1395.2275522974783	267.16401771724634
243	-1519.612105226509	130.65772893523945
244	-1404.7211058644805	270.77199605557223
245	-1482.4531110374758	179.88212514324243
246	-1427.5372470625296	250.75810709507815
247	-1470.7819526893647	171.5204176784849
248	-1467.2340157862586	209.55061875642338
249	-1394.9046461693652	216.70866572906655
250	-1405.9483822907234	238.94516712514002
251	-1412.4261803345883	217.92876238799644
252	-1416.0726475619863	217.4956676491692
253	-1401.2668161391223	226.843662556547
254	-1386.8889449244869	247.0148270121473
255	-1290.2881492900628	309.6092541189387
256	-1427.9825399581348	242.952816264103
257	-1533.1527213739146	149.966998471198
258	-1505.1240634407511	173.4097934832195
259	-1396.2840203173275	245.83428259357146
260	-1363.0266949876877	253.57149461238788
261	-1402.2060910832486	230.8159669566306
262	-1489.9179474799157	160.29100949136892
263	-1432.8070592219397	206.0142376105635
264	-1465.7362935852195	207.33248550711986
265	-1393.7341783116924	213.10128221617512
266	-1406.2767293514567	258.81195114448906
267	-1396.8933263842787	233.6217491153231
268	-1442.3944866224547	222.3388698023645
269	-1446.0024876255259	227.493724971646
270	-1418.420139008183	248.3543891578019
271	-1467.5469204576186	192.33271373755727
272	-1432.8786966435384	193.97196683501366
273	-1462.6145626183088	229.9587137815895
274	-1427.9081235196388	231.56929352491792
275	-1445.6198941473506	190.65873429800695
276	-1481.25957492722	212.26953116188722
277	-1428.926048817015	238.30336790187405
278	-1493.672337803332	153.34352090534918
279	-1357.5758637821702	240.8791971452319
280	-1426.3991594779786	212.73988784374168
281	-1447.457870648619	249.7397307835922
282	-1460.2016945121795	201.84380359971402
283	-1412.0195354195548	190.3578917049182
284	-1445.1046056274347	231.96950537968863
285	-1350.7562039938898	303.145049084461
286	-1435.824128936018	230.2392493587881
